DO,WT,PH,Cond,Tur,COD,NH,TP,TN,Chla
6.04,20.54,7.83,200.69,570.01,4.71,0.16,0.18,1.99,1.5
5.66,20.52,7.87,203.6,438.5,3.93,0.11,0.15,2.14,1.67
8.35,20.63,7.97,205.76,159.05,2.46,0.04,0.06,1.89,2.61
9.54,20.56,7.98,212.7,124.16,2.22,0.03,0.05,1.83,2.72
10.28,20.39,7.99,211.83,108.02,2.09,0.03,0.05,1.87,2.9
11.16,20.39,8.02,216.96,100.26,2.3,0.03,0.04,1.99,3.21
10.5,20.24,8.04,217.19,91.15,2.12,0.03,0.04,2.02,4.06
11.52,20.43,7.99,217.72,66.16,1.97,0.03,0.03,1.91,4.37
10.27,20.78,7.97,214.36,62.02,1.97,0.03,0.03,1.84,5.94
12.12,21.01,7.9,214.61,84.06,2.13,0.03,0.04,1.85,5.74
10.35,21.23,7.79,219.49,301.27,2.93,0.03,0.09,2.16,4.47
9.13,21.54,7.67,217.96,447.54,4.34,0.1,0.13,2.31,3.4
9.9,21.22,7.7,218.31,682.59,5.74,0.19,0.14,2.38,1.78
10.46,20.3,7.89,224.8,572.53,5.07,0.14,0.15,2.43,1.9
9.46,18.64,7.89,226.62,692.13,5.95,0.19,0.15,2.55,1.75
6.78,17.88,7.86,233.6,754.03,6.63,0.24,0.15,2.59,1.77
7.54,17.37,7.8,234.74,782.53,6.6,0.28,0.16,2.38,1.62
7.2,17.3,7.78,236.04,711.96,5.17,0.27,0.16,2.23,1.71
7.19,17.62,7.8,234.47,559.94,4.15,0.2,0.15,2.13,1.93
6.05,18.54,7.88,232.34,277.08,3.01,0.07,0.08,2.34,2.47
5.72,19.06,7.82,235.32,285.82,2.8,0.06,0.09,2.23,2
6.79,19.57,7.53,250.78,556.86,4.28,0.21,0.14,2.4,1.79
8.29,19.69,7.08,267.52,715.6,5.07,0.37,0.14,2.34,1.71
7.74,19.71,7.13,268.06,698.12,4.8,0.28,0.16,2.37,2.08
7.55,19.91,7.15,267.22,579.13,4.22,0.14,0.14,2.32,2.3
7.13,20.07,7.11,257.9,459.36,3.82,0.11,0.13,2.3,2.36
6.7,20.08,7.12,253.48,396.75,3.34,0.08,0.11,2.32,2.28
6.35,19.95,7.19,258.82,268.87,2.89,0.04,0.08,2.18,2.83
6.49,19.31,7.25,268.34,152.67,2.29,0.03,0.05,2.07,2.52
8.25,15.24,7.42,271.86,303.66,3.1,0.03,0.09,2.54,2.32
11.13,12.08,7.54,262.84,334.16,3.36,0.09,0.12,2.62,2.31
12.7,20.1,7.56,292.2,340.42,3.04,0.14,0.1,2.61,2.44
8.44,18.39,7.47,304.84,248.18,3.39,0.16,0.08,2.52,2.8
8.42,19.49,7.49,290.86,246.89,2.91,0.17,0.09,2.46,3.01
8.5,19.33,7.54,285.07,235.69,2.83,0.16,0.08,2.37,3.22
8.46,20.26,7.54,280.24,212.98,2.61,0.15,0.07,2.33,3.23
8.15,21.04,7.51,277.62,195.77,2.54,0.13,0.06,2.29,3.26
10.01,19.75,7.45,261,188.1,2.5,0.14,0.06,2.3,3.39
12.27,17.95,7.43,252.05,239.24,3.05,0.17,0.07,2.28,3.97
12.21,17.95,7.38,239.43,340.01,3.7,0.22,0.1,2.47,4.54
11.46,18.58,7.43,233.57,321.32,3.8,0.21,0.09,2.49,4.9
10.43,19.23,7.52,236.95,292.49,3.55,0.21,0.08,2.48,5.58
9.87,19.63,7.47,238.83,398.19,4.24,0.27,0.11,2.69,5.84
10.61,18.9,7.46,239.18,454.55,4.59,0.29,0.11,2.73,6.2
10.3,18.89,7.49,240.8,398.14,4.32,0.27,0.1,2.72,6.86
8.01,15.59,7.47,240.27,403.75,4.28,0.28,0.1,2.79,7.24
5.21,12.66,7.56,241.96,346.54,3.9,0.24,0.11,2.73,8.18
4.57,11.78,7.61,247.56,342.27,4.08,0.24,0.1,2.75,8.92
4.99,11.75,7.57,248.43,396.16,4.04,0.25,0.1,2.75,9.57
5.26,12.42,7.51,247.18,451.8,4.45,0.27,0.11,2.79,10.03
5.74,13.28,7.5,245.9,425.74,4.27,0.24,0.09,2.8,10.96
5.66,13.28,7.48,244.77,432.6,4.27,0.24,0.11,2.8,11.68
5.27,13.31,7.55,245.52,294.16,3.73,0.19,0.08,2.76,13.26
6.43,13.09,7.48,248.8,176.04,3.12,0.17,0.05,2.62,11.59
5.14,13.25,7.63,245.55,150.62,3.05,0.15,0.04,2.56,10.98
5.04,13.14,7.64,246.34,143.69,3.02,0.14,0.04,2.57,11.53
4.93,13.08,7.69,249.66,146.83,3,0.14,0.04,2.55,12.72
6.06,12.37,7.65,253.46,396.09,4.42,0.24,0.08,2.8,12.58
6.92,11.98,7.65,255.31,380.93,4.28,0.24,0.08,2.78,12.69
6.49,12.23,7.69,253.78,220.7,3.28,0.16,0.05,2.65,11.22
6.3,12.37,7.7,251.63,160.39,3.11,0.12,0.04,2.46,12.63
6.51,12.48,7.67,249.3,147.56,3.04,0.11,0.04,2.37,12.67
5.98,12.91,7.67,246.82,149.45,3.03,0.12,0.04,2.39,13.51
6.25,12.49,7.7,241.97,152.61,3,0.14,0.04,2.41,14.47
6.88,13.38,7.69,243.78,152.3,3,0.14,0.04,2.38,14.33
8.06,18.46,7.62,246.31,245.89,3.47,0.17,0.05,2.56,13.96
8.82,17.71,7.62,248.47,237.08,3.43,0.18,0.05,2.61,14.57
7.53,18.61,7.66,238.98,282.5,3.55,0.19,0.05,2.66,14.62
